S.NO,NAME,RNO,EMAIL,DEPT,YEAR,CURR_SEM,MENTOR,MENTOR_EMAIL,SEM1,SEM2,SEM3,SEM4,SEM5,SEM6,SEM7,SEM8,INTERNAL_MARKS,TOTAL_DAYS_CURR,ATTENDED_DAYS_CURR,PREV_ATTENDANCE_PERC,BEHAVIOR_SCORE_10
1,Arjun Menon,23G31A8578,arjun.menon478@gmail.com,CSE,1,2,Prof. Meera Desai,prof..meera.desai68@gmail.com,79.0,,0.0,0.0,0.0,0.0,0.0,0.0,23,116,92.0,88,9.6
2,Vivek Gupta,23G31A2758,vivek.gupta939@gmail.com,CDS,1,1,Prof. Meera Desai,prof..meera.desai58@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,90,73.0,48,8.0
3,Pari Kapoor,23G31B3979,pari.kapoor485@gmail.com,ECE,1,1,Dr. Anil Singh,dr..anil.singh16@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,83,74.0,57,9.0
4,Diya Sinha,23G31A2000,diya.sinha196@gmail.com,EEE,1,2,Dr. Rohan Kapoor,dr..rohan.kapoor92@gmail.com,66.0,,0.0,0.0,0.0,0.0,0.0,0.0,24,90,38.0,89,3.9
5,Bhavna Bhat,23G31B7030,bhavna.bhat845@gmail.com,MECH,1,1,Prof. Shreya Nair,prof..shreya.nair96@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,87,67.0,85,4.9
6,Ananya Mishra,23G31A6867,ananya.mishra230@gmail.com,CIVIL,1,1,Dr. Anil Singh,dr..anil.singh95@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,99,56.0,67,5.0
7,Arjun Desai,23G31A2732,arjun.desai910@gmail.com,CSE(AI),1,1,Prof. Meera Desai,prof..meera.desai26@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,87,80.0,56,9.4
8,Ajay Joshi,23G31B7317,ajay.joshi189@gmail.com,CSE,1,1,Prof. Priya Sharma,prof..priya.sharma21@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,92,87.0,65,3.3
9,Tanvi Mishra,23G31B7519,tanvi.mishra455@gmail.com,CDS,1,1,Prof. Priya Sharma,prof..priya.sharma33@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,83,74.0,54,4.1
10,Aryan Reddy,23G31B7375,aryan.reddy330@gmail.com,ECE,1,1,Prof. Priya Sharma,prof..priya.sharma68@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,81,48.0,72,8.7
11,Sanjay Bhat,23G31B5317,sanjay.bhat324@gmail.com,EEE,1,2,Dr. Vikram Reddy,dr..vikram.reddy67@gmail.com,56.0,,0.0,0.0,0.0,0.0,0.0,0.0,13,94,56.0,66,2.8
12,Varun Patel,23G31A4061,varun.patel485@gmail.com,MECH,1,2,Prof. Meera Desai,prof..meera.desai52@gmail.com,58.0,,0.0,0.0,0.0,0.0,0.0,0.0,27,116,53.0,52,3.1
13,Nikhil Iyer,23G31B5477,nikhil.iyer957@gmail.com,CIVIL,1,2,Dr. Anil Singh,dr..anil.singh71@gmail.com,47.0,,0.0,0.0,0.0,0.0,0.0,0.0,10,93,64.0,58,6.1
14,Ashok Menon,23G31B8275,ashok.menon415@gmail.com,CSE(AI),1,2,Prof. Ritika Malhotra,prof..ritika.malhotra80@gmail.com,79.0,,0.0,0.0,0.0,0.0,0.0,0.0,28,84,58.0,78,7.7
15,Mohan Patel,23G31A4790,mohan.patel292@gmail.com,CSE,1,1,Dr. Suresh Iyer,dr..suresh.iyer88@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,90,72.0,66,3.7
16,Karthik Joshi,23G31B5370,karthik.joshi610@gmail.com,CDS,1,2,Dr. Vikram Reddy,dr..vikram.reddy24@gmail.com,61.0,,0.0,0.0,0.0,0.0,0.0,0.0,13,104,102.0,60,3.8
17,Sneha Reddy,23G31A8586,sneha.reddy286@gmail.com,ECE,1,2,Prof. Isha Mishra,prof..isha.mishra48@gmail.com,65.0,,0.0,0.0,0.0,0.0,0.0,0.0,19,113,101.0,59,9.0
18,Sneha Desai,23G31A3295,sneha.desai282@gmail.com,EEE,1,2,Dr. Suresh Iyer,dr..suresh.iyer43@gmail.com,64.0,,0.0,0.0,0.0,0.0,0.0,0.0,15,96,84.0,93,7.7
19,Deepak Desai,23G31A8137,deepak.desai415@gmail.com,MECH,1,1,Dr. Harish Rao,dr..harish.rao22@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,113,85.0,76,5.0
20,Ramesh Malhotra,23G31B9891,ramesh.malhotra763@gmail.com,CIVIL,1,2,Prof. Meera Desai,prof..meera.desai11@gmail.com,72.0,,0.0,0.0,0.0,0.0,0.0,0.0,19,86,76.0,68,7.3
21,Nitin Saxena,23G31B8855,nitin.saxena250@gmail.com,CSE(AI),1,1,Prof. Shreya Nair,prof..shreya.nair55@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,96,63.0,45,9.0
22,Meera Rao,23G31A1368,meera.rao743@gmail.com,CSE,1,2,Prof. Isha Mishra,prof..isha.mishra36@gmail.com,92.0,,0.0,0.0,0.0,0.0,0.0,0.0,24,83,36.0,54,9.0
23,Esha Reddy,23G31A5007,esha.reddy143@gmail.com,CDS,1,1,Dr. Sanjay Joshi,dr..sanjay.joshi15@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,99,58.0,95,5.5
24,Simran Bhatnagar,23G31A5245,simran.bhatnagar384@gmail.com,ECE,1,1,Dr. Sanjay Joshi,dr..sanjay.joshi87@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,120,116.0001,91,6.2
25,Rajesh Agarwal,23G31B6388,rajesh.agarwal570@gmail.com,EEE,1,1,Prof. Isha Mishra,prof..isha.mishra85@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,107,105.0,92,1.2
26,Aisha Chatterjee,23G31A8215,aisha.chatterjee133@gmail.com,MECH,1,1,Prof. Shreya Nair,prof..shreya.nair24@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,84,57.0,41,6.7
27,Anjali Agarwal,23G31B4787,anjali.agarwal608@gmail.com,CIVIL,1,2,Dr. Rajesh Kumar,dr..rajesh.kumar40@gmail.com,62.0,,0.0,0.0,0.0,0.0,0.0,0.0,12,88,51.0,78,1.6
28,Sanjay Das,23G31B1623,sanjay.das796@gmail.com,CSE(AI),1,1,Dr. Anil Singh,dr..anil.singh35@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,115,113.0,41,4.2
29,Bhavna Bhat,23G31B7131,bhavna.bhat389@gmail.com,CSE,1,1,Prof. Kavya Pillai,prof..kavya.pillai79@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,85,36.0,43,1.2
30,Kavya Iyer,23G31B1420,kavya.iyer464@gmail.com,CDS,1,1,Dr. Rohan Kapoor,dr..rohan.kapoor49@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,105,76.0,88,3.8
31,Suresh Singh,23G31A9885,suresh.singh226@gmail.com,ECE,1,2,Prof. Kavya Pillai,prof..kavya.pillai52@gmail.com,75.0,,0.0,0.0,0.0,0.0,0.0,0.0,13,111,77.0,46,5.0
32,Varun Pillai,23G31A4634,varun.pillai787@gmail.com,EEE,1,2,Dr. Harish Rao,dr..harish.rao43@gmail.com,72.0,,0.0,0.0,0.0,0.0,0.0,0.0,20,100,84.0,72,5.6
33,Ashok Bansal,23G31B5221,ashok.bansal895@gmail.com,MECH,1,1,Dr. Sanjay Joshi,dr..sanjay.joshi61@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,120,107.0,58,2.7
34,Suresh Das,23G31B3541,suresh.das630@gmail.com,CIVIL,1,1,Dr. Rohan Kapoor,dr..rohan.kapoor62@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,120,88.0,59,6.5
35,Sandeep Kumar,23G31A1993,sandeep.kumar414@gmail.com,CSE(AI),1,2,Dr. Vikram Reddy,dr..vikram.reddy25@gmail.com,91.0,,0.0,0.0,0.0,0.0,0.0,0.0,18,89,75.0,83,8.2
36,Kavya Iyer,23G31A8228,kavya.iyer613@gmail.com,CSE,1,1,Prof. Priya Sharma,prof..priya.sharma31@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,99,83.0,48,5.7
37,Rajesh Srivastava,23G31A7082,rajesh.srivastava730@gmail.com,CDS,1,2,Dr. Rohan Kapoor,dr..rohan.kapoor96@gmail.com,81.0,,0.0,0.0,0.0,0.0,0.0,0.0,25,117,49.0,49,2.1
38,Siddharth Menon,23G31B5451,siddharth.menon162@gmail.com,ECE,1,2,Dr. Sanjay Joshi,dr..sanjay.joshi29@gmail.com,82.0,,0.0,0.0,0.0,0.0,0.0,0.0,28,116,109.0,60,8.5
39,Ajay Bhat,23G31A3458,ajay.bhat939@gmail.com,EEE,1,2,Prof. Anjali Menon,prof..anjali.menon33@gmail.com,54.0,,0.0,0.0,0.0,0.0,0.0,0.0,30,80,61.0,73,2.4
40,Divya Mishra,23G31B6380,divya.mishra334@gmail.com,MECH,1,1,Prof. Anjali Menon,prof..anjali.menon50@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,85,58.0,70,7.3
41,Sanjay Verma,23G31A1497,sanjay.verma396@gmail.com,CIVIL,1,2,Dr. Nitin Verma,dr..nitin.verma37@gmail.com,41.0,,0.0,0.0,0.0,0.0,0.0,0.0,28,100,86.0,42,5.3
42,Meera Patel,23G31A3158,meera.patel159@gmail.com,CSE(AI),1,1,Prof. Kavya Pillai,prof..kavya.pillai54@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,95,46.0,91,1.3
43,Rahul Bhatnagar,23G31A6353,rahul.bhatnagar835@gmail.com,CSE,1,2,Prof. Ritika Malhotra,prof..ritika.malhotra89@gmail.com,81.0,,0.0,0.0,0.0,0.0,0.0,0.0,30,102,88.0,67,9.7
44,Shreya Bhatnagar,23G31B7848,shreya.bhatnagar580@gmail.com,CDS,1,1,Dr. Anil Singh,dr..anil.singh92@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,86,61.0,67,5.1
45,Ritika Gupta,23G31A6745,ritika.gupta862@gmail.com,ECE,1,2,Prof. Shreya Nair,prof..shreya.nair13@gmail.com,56.0,,0.0,0.0,0.0,0.0,0.0,0.0,27,100,70.0,70,4.7
46,Ramesh Malhotra,23G31A2923,ramesh.malhotra565@gmail.com,EEE,1,1,Prof. Priya Sharma,prof..priya.sharma62@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,115,111.0,57,2.2
47,Celina Rao,23G31A5182,celina.rao994@gmail.com,MECH,1,2,Dr. Sanjay Joshi,dr..sanjay.joshi80@gmail.com,79.0,,0.0,0.0,0.0,0.0,0.0,0.0,29,104,50.0,62,6.8
48,Deepak Malhotra,23G31B8244,deepak.malhotra618@gmail.com,CIVIL,1,1,Dr. Rajesh Kumar,dr..rajesh.kumar82@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,115,74.0,76,3.7
49,Sanjay Saxena,23G31A9449,sanjay.saxena132@gmail.com,CSE(AI),1,2,Dr. Sanjay Joshi,dr..sanjay.joshi37@gmail.com,73.0,,0.0,0.0,0.0,0.0,0.0,0.0,14,119,83.0,45,2.6
50,Maya Iyer,23G31A2532,maya.iyer280@gmail.com,CSE,1,2,Prof. Divya Srivastava,prof..divya.srivastava43@gmail.com,56.0,,0.0,0.0,0.0,0.0,0.0,0.0,24,103,43.0,92,2.1
51,Aisha Menon,23G31A4704,aisha.menon370@gmail.com,CDS,1,2,Dr. Rajesh Kumar,dr..rajesh.kumar94@gmail.com,83.0,,0.0,0.0,0.0,0.0,0.0,0.0,16,81,38.0,61,8.3
52,Kriti Joshi,23G31A9542,kriti.joshi370@gmail.com,ECE,1,2,Dr. Nitin Verma,dr..nitin.verma15@gmail.com,41.0,,0.0,0.0,0.0,0.0,0.0,0.0,17,101,91.0,57,4.6
53,Harsha Bajaj,23G31B1544,harsha.bajaj982@gmail.com,EEE,1,2,Prof. Divya Srivastava,prof..divya.srivastava67@gmail.com,66.0,,0.0,0.0,0.0,0.0,0.0,0.0,29,86,47.0,60,2.8
54,Aisha Reddy,23G31B8040,aisha.reddy953@gmail.com,MECH,1,1,Prof. Meera Desai,prof..meera.desai85@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,117,111.0,53,2.6
55,Pooja Sharma,23G31A7199,pooja.sharma881@gmail.com,CIVIL,1,1,Prof. Priya Sharma,prof..priya.sharma85@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,103,91.0,87,7.4
56,Swati Patel,23G31B1993,swati.patel145@gmail.com,CSE(AI),1,2,Prof. Divya Srivastava,prof..divya.srivastava58@gmail.com,69.0,,0.0,0.0,0.0,0.0,0.0,0.0,30,88,78.0,81,9.7
57,Aryan Joshi,23G31A1182,aryan.joshi379@gmail.com,CSE,1,1,Prof. Ritika Malhotra,prof..ritika.malhotra24@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,92,65.0,94,5.1
58,Maya Bhat,23G31A9221,maya.bhat965@gmail.com,CDS,1,2,Dr. Rajesh Kumar,dr..rajesh.kumar74@gmail.com,72.0,,0.0,0.0,0.0,0.0,0.0,0.0,26,104,97.0,78,9.8
59,Divya Bajaj,23G31B3178,divya.bajaj328@gmail.com,ECE,1,2,Prof. Isha Mishra,prof..isha.mishra56@gmail.com,72.0,,0.0,0.0,0.0,0.0,0.0,0.0,29,81,68.0,83,2.2
60,Ashok Iyer,23G31B7280,ashok.iyer541@gmail.com,EEE,1,1,Prof. Kavya Pillai,prof..kavya.pillai47@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,111,94.0,77,7.5
61,Sakshi Chatterjee,23G31A2628,sakshi.chatterjee100@gmail.com,MECH,1,2,Prof. Shreya Nair,prof..shreya.nair48@gmail.com,91.0,,0.0,0.0,0.0,0.0,0.0,0.0,30,115,76.0,72,8.9
62,Suresh Rao,23G31A2194,suresh.rao827@gmail.com,CIVIL,1,2,Dr. Rajesh Kumar,dr..rajesh.kumar30@gmail.com,58.0,,0.0,0.0,0.0,0.0,0.0,0.0,26,90,86.0,92,3.9
63,Aditya Singh,23G31A2583,aditya.singh245@gmail.com,CSE(AI),1,1,Prof. Isha Mishra,prof..isha.mishra82@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,97,87.0,80,8.5
64,Rahul Chatterjee,23G31A9757,rahul.chatterjee536@gmail.com,CSE,1,1,Dr. Suresh Iyer,dr..suresh.iyer47@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,97,82.0,67,4.4
65,Aarav Kumar,23G31A8195,aarav.kumar267@gmail.com,CDS,1,1,Prof. Meera Desai,prof..meera.desai85@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,83,55.0,79,3.2
66,Sneha Chatterjee,23G31A1443,sneha.chatterjee139@gmail.com,ECE,1,1,Prof. Ritika Malhotra,prof..ritika.malhotra30@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,91,76.0,60,2.9
67,Siddharth Bhatnagar,23G31A9964,siddharth.bhatnagar373@gmail.com,EEE,1,1,Prof. Shreya Nair,prof..shreya.nair90@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,104,52.0,57,5.2
68,Tanvi Nair,23G31B5522,tanvi.nair745@gmail.com,MECH,1,2,Dr. Sanjay Joshi,dr..sanjay.joshi99@gmail.com,90.0,,0.0,0.0,0.0,0.0,0.0,0.0,13,86,49.0,62,1.4
69,Ramesh Menon,23G31B1562,ramesh.menon565@gmail.com,CIVIL,1,2,Prof. Priya Sharma,prof..priya.sharma81@gmail.com,61.0,,0.0,0.0,0.0,0.0,0.0,0.0,27,101,53.0,50,5.7
70,Sakshi Bansal,23G31A6359,sakshi.bansal453@gmail.com,CSE(AI),1,1,Prof. Divya Srivastava,prof..divya.srivastava84@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,117,64.0,93,4.8
71,Nisha Chatterjee,23G31A7285,nisha.chatterjee190@gmail.com,CSE,1,1,Dr. Suresh Iyer,dr..suresh.iyer10@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,81,37.0,68,1.1
72,Siddharth Dasgupta,23G31A1373,siddharth.dasgupta385@gmail.com,CDS,1,2,Dr. Anil Singh,dr..anil.singh42@gmail.com,72.0,,0.0,0.0,0.0,0.0,0.0,0.0,16,82,69.0,43,3.6
73,Nikhil Menon,23G31A8059,nikhil.menon960@gmail.com,ECE,1,2,Prof. Divya Srivastava,prof..divya.srivastava51@gmail.com,58.0,,0.0,0.0,0.0,0.0,0.0,0.0,25,108,80.0,69,1.8
74,Rajesh Sinha,23G31B3134,rajesh.sinha439@gmail.com,EEE,1,1,Dr. Harish Rao,dr..harish.rao49@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,95,78.0,83,5.8
75,Vishal Gupta,23G31B9021,vishal.gupta624@gmail.com,MECH,1,2,Dr. Nitin Verma,dr..nitin.verma22@gmail.com,43.0,,0.0,0.0,0.0,0.0,0.0,0.0,19,111,102.0,47,7.6
76,Ashok Mishra,23G31A5156,ashok.mishra848@gmail.com,CIVIL,1,1,Prof. Isha Mishra,prof..isha.mishra94@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,108,74.0,62,8.3
77,Shreya Saxena,23G31A8200,shreya.saxena906@gmail.com,CSE(AI),1,2,Dr. Sanjay Joshi,dr..sanjay.joshi81@gmail.com,60.0,,0.0,0.0,0.0,0.0,0.0,0.0,25,100,56.0,83,5.8
78,Aditya Dasgupta,23G31A1417,aditya.dasgupta415@gmail.com,CSE,1,1,Dr. Nitin Verma,dr..nitin.verma24@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,114,82.0,92,8.2
79,Anjali Bajaj,23G31A5093,anjali.bajaj857@gmail.com,CDS,1,2,Dr. Suresh Iyer,dr..suresh.iyer68@gmail.com,91.0,,0.0,0.0,0.0,0.0,0.0,0.0,24,110,95.0,71,7.1
80,Aryan Das,23G31B6025,aryan.das999@gmail.com,ECE,1,2,Prof. Isha Mishra,prof..isha.mishra39@gmail.com,42.0,,0.0,0.0,0.0,0.0,0.0,0.0,12,85,80.0,40,9.4
81,Ramesh Dasgupta,23G31B1770,ramesh.dasgupta955@gmail.com,EEE,1,1,Dr. Anil Singh,dr..anil.singh73@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,89,77.0,59,3.6
82,Deepak Bansal,23G31A5383,deepak.bansal439@gmail.com,MECH,1,1,Dr. Sanjay Joshi,dr..sanjay.joshi91@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,115,66.0,94,2.6
83,Ravi Bajaj,23G31B6399,ravi.bajaj900@gmail.com,CIVIL,1,1,Prof. Priya Sharma,prof..priya.sharma14@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,109,98.0,45,1.7
84,Shreya Dutta,23G31B4261,shreya.dutta594@gmail.com,CSE(AI),1,2,Prof. Divya Srivastava,prof..divya.srivastava88@gmail.com,98.0,,0.0,0.0,0.0,0.0,0.0,0.0,25,115,93.0,84,2.5
85,Karthik Pillai,23G31A1321,karthik.pillai953@gmail.com,CSE,1,2,Dr. Rohan Kapoor,dr..rohan.kapoor73@gmail.com,92.0,,0.0,0.0,0.0,0.0,0.0,0.0,27,100,96.0,62,4.9
86,Esha Kumar,23G31A8295,esha.kumar935@gmail.com,CDS,1,2,Dr. Rohan Kapoor,dr..rohan.kapoor15@gmail.com,76.0,,0.0,0.0,0.0,0.0,0.0,0.0,18,97,95.0,86,4.3
87,Vishal Saxena,23G31A3984,vishal.saxena886@gmail.com,ECE,1,2,Prof. Anjali Menon,prof..anjali.menon46@gmail.com,67.0,,0.0,0.0,0.0,0.0,0.0,0.0,30,90,89.0,64,6.3
88,Aryan Verma,23G31A5011,aryan.verma225@gmail.com,EEE,1,2,Prof. Shreya Nair,prof..shreya.nair77@gmail.com,56.0,,0.0,0.0,0.0,0.0,0.0,0.0,16,85,85.0,93,4.0
89,Ria Iyer,23G31B3764,ria.iyer321@gmail.com,MECH,1,2,Dr. Vikram Reddy,dr..vikram.reddy73@gmail.com,68.0,,0.0,0.0,0.0,0.0,0.0,0.0,27,118,97.0,45,6.8
90,Diya Saxena,23G31B9355,diya.saxena691@gmail.com,CIVIL,1,1,Prof. Isha Mishra,prof..isha.mishra20@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,84,41.0,86,8.2
91,Diya Dutta,23G31B9713,diya.dutta391@gmail.com,CSE(AI),1,2,Prof. Meera Desai,prof..meera.desai58@gmail.com,81.0,,0.0,0.0,0.0,0.0,0.0,0.0,23,82,43.0,76,5.9
92,Harish Srivastava,23G31A5898,harish.srivastava738@gmail.com,CSE,1,2,Dr. Rohan Kapoor,dr..rohan.kapoor97@gmail.com,99.0,,0.0,0.0,0.0,0.0,0.0,0.0,11,93,69.0,42,8.7
93,Harsha Das,23G31A4114,harsha.das861@gmail.com,CDS,1,2,Prof. Meera Desai,prof..meera.desai74@gmail.com,58.0,,0.0,0.0,0.0,0.0,0.0,0.0,14,83,70.0,66,5.0
94,Harish Iyer,23G31B1318,harish.iyer490@gmail.com,ECE,1,2,Prof. Anjali Menon,prof..anjali.menon85@gmail.com,76.0,,0.0,0.0,0.0,0.0,0.0,0.0,14,114,46.0,79,9.4
95,Nisha Reddy,23G31A8436,nisha.reddy242@gmail.com,EEE,1,2,Prof. Kavya Pillai,prof..kavya.pillai53@gmail.com,85.0,,0.0,0.0,0.0,0.0,0.0,0.0,30,114,100.0,47,2.0
96,Rohan Singh,23G31B3720,rohan.singh269@gmail.com,MECH,1,1,Prof. Anjali Menon,prof..anjali.menon92@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,112,47.0,54,8.0
97,Ananya Sharma,23G31A8840,ananya.sharma853@gmail.com,CIVIL,1,2,Dr. Rohan Kapoor,dr..rohan.kapoor59@gmail.com,81.0,,0.0,0.0,0.0,0.0,0.0,0.0,21,87,62.0,67,8.7
98,Kumar Kumar,23G31A8369,kumar.kumar649@gmail.com,CSE(AI),1,2,Prof. Anjali Menon,prof..anjali.menon91@gmail.com,73.0,,0.0,0.0,0.0,0.0,0.0,0.0,22,101,73.0,61,5.0
99,Aarav Agarwal,23G31A3661,aarav.agarwal747@gmail.com,CSE,1,1,Prof. Kavya Pillai,prof..kavya.pillai96@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,111,107.0,60,8.5
100,Sandeep Agarwal,23G31B6153,sandeep.agarwal169@gmail.com,CDS,1,1,Prof. Kavya Pillai,prof..kavya.pillai70@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,117,116.0001,75,9.5
101,Ramesh Iyer,23G31B8664,ramesh.iyer405@gmail.com,ECE,1,2,Prof. Meera Desai,prof..meera.desai42@gmail.com,85.0,,0.0,0.0,0.0,0.0,0.0,0.0,29,92,61.0,78,8.6
102,Rahul Gupta,23G31A1479,rahul.gupta581@gmail.com,EEE,1,1,Prof. Shreya Nair,prof..shreya.nair59@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,101,92.0,94,4.8
103,Sneha Bajaj,23G31A5741,sneha.bajaj134@gmail.com,MECH,1,2,Dr. Harish Rao,dr..harish.rao58@gmail.com,62.0,,0.0,0.0,0.0,0.0,0.0,0.0,23,88,80.0,68,1.8
104,Priya Verma,23G31B8659,priya.verma914@gmail.com,CIVIL,1,1,Prof. Divya Srivastava,prof..divya.srivastava36@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,98,68.0,49,5.3
105,Simran Sinha,23G31B6797,simran.sinha217@gmail.com,CSE(AI),1,2,Dr. Sanjay Joshi,dr..sanjay.joshi80@gmail.com,80.0,,0.0,0.0,0.0,0.0,0.0,0.0,17,105,83.0,73,5.1
106,Pooja Chopra,23G31B9997,pooja.chopra545@gmail.com,CSE,1,2,Prof. Shreya Nair,prof..shreya.nair20@gmail.com,77.0,,0.0,0.0,0.0,0.0,0.0,0.0,15,110,54.0,72,5.2
107,Simran Das,23G31B7208,simran.das815@gmail.com,CDS,1,2,Prof. Isha Mishra,prof..isha.mishra24@gmail.com,59.0,,0.0,0.0,0.0,0.0,0.0,0.0,28,85,61.0,47,8.8
108,Sanjay Srivastava,23G31B4327,sanjay.srivastava930@gmail.com,ECE,1,1,Prof. Kavya Pillai,prof..kavya.pillai70@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,82,47.0,71,5.2
109,Diya Patel,23G31A2470,diya.patel982@gmail.com,EEE,1,2,Dr. Sanjay Joshi,dr..sanjay.joshi34@gmail.com,57.0,,0.0,0.0,0.0,0.0,0.0,0.0,15,85,73.0,61,4.9
110,Aisha Chatterjee,23G31B5135,aisha.chatterjee425@gmail.com,MECH,1,1,Dr. Rohan Kapoor,dr..rohan.kapoor84@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,120,102.0,41,9.1
