S.NO,NAME,RNO,EMAIL,DEPT,YEAR,SEM,CURR_SEM,MENTOR,MENTOR_EMAIL,SEM1,SEM2,SEM3,SEM4,SEM5,SEM7,SEM8,INTERNAL_MARKS,TOTAL_DAYS_CURR,ATTENDED_DAYS_CURR,PREV_ATTENDANCE_PERC,BEHAVIOR_SCORE_10
1,Arjun Menon,23G31A8578,arjun.menon478@gmail.com,CSE,1,1-2,2,Prof. Meera Desai,prof..meera.desai68@gmail.com,79,,,,,,,23,116,92,88,9.6
2,Vivek Gupta,23G31A2758,vivek.gupta939@gmail.com,CDS,1,1-1,1,Prof. Meera Desai,prof..meera.desai58@gmail.com,,,,,,,,13,90,73,48,8.0
3,Pari Kapoor,23G31B3979,pari.kapoor485@gmail.com,ECE,1,1-1,1,Dr. Anil Singh,dr..anil.singh16@gmail.com,,,,,,,,15,83,74,57,9.0
4,Diya Sinha,23G31A2000,diya.sinha196@gmail.com,EEE,1,1-2,2,Dr. Rohan Kapoor,dr..rohan.kapoor92@gmail.com,66,,,,,,,24,90,38,89,3.9
5,Bhavna Bhat,23G31B7030,bhavna.bhat845@gmail.com,MECH,1,1-1,1,Prof. Shreya Nair,prof..shreya.nair96@gmail.com,,,,,,,,27,87,67,85,4.9
6,Ananya Mishra,23G31A6867,ananya.mishra230@gmail.com,CIVIL,1,1-1,1,Dr. Anil Singh,dr..anil.singh95@gmail.com,,,,,,,,28,99,56,67,5.0
7,Arjun Desai,23G31A2732,arjun.desai910@gmail.com,CSE(AI),1,1-1,1,Prof. Meera Desai,prof..meera.desai26@gmail.com,,,,,,,,20,87,80,56,9.4
8,Ajay Joshi,23G31B7317,ajay.joshi189@gmail.com,CSE,1,1-1,1,Prof. Priya Sharma,prof..priya.sharma21@gmail.com,,,,,,,,22,92,87,65,3.3
9,Tanvi Mishra,23G31B7519,tanvi.mishra455@gmail.com,CDS,1,1-1,1,Prof. Priya Sharma,prof..priya.sharma33@gmail.com,,,,,,,,16,83,74,54,4.1
10,Aryan Reddy,23G31B7375,aryan.reddy330@gmail.com,ECE,1,1-1,1,Prof. Priya Sharma,prof..priya.sharma68@gmail.com,,,,,,,,13,81,48,72,8.7
