S.NO,NAME,RNO,EMAIL,DEPT,YEAR,CURR_SEM,MENTOR,MENTOR_EMAIL,SEM1,SEM2,SEM3,SEM4,SEM5,SEM6,SEM7,SEM8,INTERNAL_MARKS,TOTAL_DAYS_CURR,ATTENDED_DAYS_CURR,PREV_ATTENDANCE_PERC,BEHAVIOR_SCORE_10,computed_features,performance_label,risk_label,dropout_label,performance_overall,risk_score,dropout_score,23G31A1001,Arjun Menon,CSE,1,2,avg_marks=78;attendance=85;behavior=8.5,high,low,low.1,82.4,18.6,15.2,reg_number,student_id,name,email,department,year,semester,mentor_name,mentor_email,sem1,sem2,sem3,sem4,sem5,sem6,sem7,sem8,age,total_marks,attendance,cgpa,backlog_count,AGE
6.0,Ananya Mishra,23G31A6867,ananya.mishra230@gmail.com,CIVIL,1.0,1.0,Dr. Anil Singh,dr..anil.singh95@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,99.0,56.0,67.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,Arjun Desai,23G31A2732,arjun.desai910@gmail.com,CSE(AI),1.0,1.0,Prof. Meera Desai,prof..meera.desai26@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,87.0,80.0,56.0,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,Ajay Joshi,23G31B7317,ajay.joshi189@gmail.com,CSE,1.0,1.0,Prof. Priya Sharma,prof..priya.sharma21@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,92.0,87.0,65.0,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,Tanvi Mishra,23G31B7519,tanvi.mishra455@gmail.com,CDS,1.0,1.0,Prof. Priya Sharma,prof..priya.sharma33@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,83.0,74.0,54.0,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,Aryan Reddy,23G31B7375,aryan.reddy330@gmail.com,ECE,1.0,1.0,Prof. Priya Sharma,prof..priya.sharma68@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,81.0,48.0,72.0,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,Sanjay Bhat,23G31B5317,sanjay.bhat324@gmail.com,EEE,1.0,2.0,Dr. Vikram Reddy,dr..vikram.reddy67@gmail.com,56.0,,0.0,0.0,0.0,0.0,0.0,0.0,13.0,94.0,56.0,66.0,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,Varun Patel,23G31A4061,varun.patel485@gmail.com,MECH,1.0,2.0,Prof. Meera Desai,prof..meera.desai52@gmail.com,58.0,,0.0,0.0,0.0,0.0,0.0,0.0,27.0,116.0,53.0,52.0,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,Nikhil Iyer,23G31B5477,nikhil.iyer957@gmail.com,CIVIL,1.0,2.0,Dr. Anil Singh,dr..anil.singh71@gmail.com,47.0,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,93.0,64.0,58.0,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,Ashok Menon,23G31B8275,ashok.menon415@gmail.com,CSE(AI),1.0,2.0,Prof. Ritika Malhotra,prof..ritika.malhotra80@gmail.com,79.0,,0.0,0.0,0.0,0.0,0.0,0.0,28.0,84.0,58.0,78.0,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,Mohan Patel,23G31A4790,mohan.patel292@gmail.com,CSE,1.0,1.0,Dr. Suresh Iyer,dr..suresh.iyer88@gmail.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,90.0,72.0,66.0,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
