RNO,NAME,YEAR,CURR_SEM,past_avg,past_count,internal_pct,attendance_pct,behavior_pct,performance_trend,performance_overall,risk_overall,risk_score,dropout_overall,dropout_score,performance_label,risk_label,dropout_label
23G31A8578,Arjun Menon,1,2,79.0,1,76.66666666666667,82.71724137931034,96.0,0.0,79.70758620689655,79.70758620689655,20.29241379310345,83.06873563218389,16.931264367816112,high,low,low
23G31A2758,Vivek Gupta,1,1,0.0,0,43.333333333333336,74.37777777777778,80.0,0.0,28.156666666666666,28.156666666666666,71.84333333333333,64.39777777777778,35.602222222222224,poor,high,low
23G31B3979,Pari Kapoor,1,1,0.0,0,50.0,82.80963855421686,90.0,0.0,31.921445783132526,31.921445783132526,68.07855421686747,71.96674698795181,28.033253012048192,poor,normal,low
23G31A2000,Diya Sinha,1,2,66.0,1,80.0,51.25555555555555,39.0,0.0,66.63833333333334,66.63833333333334,33.361666666666665,54.37888888888889,45.62111111111111,high,low,medium
23G31B7030,Bhavna Bhat,1,1,0.0,0,90.0,75.80804597701149,49.0,0.0,40.82120689655173,40.82120689655173,59.17879310344827,66.96563218390804,33.03436781609196,medium,normal,low
23G31A6867,Ananya Mishra,1,1,0.0,0,93.33333333333333,57.99595959595959,50.0,0.0,39.199393939393936,39.199393939393936,60.800606060606064,54.93050505050505,45.06949494949495,poor,normal,medium
23G31A2732,Arjun Desai,1,1,0.0,0,66.66666666666666,84.96781609195402,94.0,0.0,37.4451724137931,37.4451724137931,62.5548275862069,75.54413793103448,24.455862068965516,poor,normal,low
23G31B7317,Ajay Joshi,1,1,0.0,0,73.33333333333333,82.49565217391303,33.0,0.0,36.024347826086945,36.024347826086945,63.975652173913055,68.38028985507245,31.619710144927552,poor,normal,low
23G31B7519,Tanvi Mishra,1,1,0.0,0,53.333333333333336,77.30963855421686,41.0,0.0,29.64644578313253,29.64644578313253,70.35355421686747,63.55008032128514,36.44991967871486,poor,high,low
23G31B7375,Aryan Reddy,1,1,0.0,0,43.333333333333336,64.58148148148148,87.0,0.0,27.037222222222223,27.037222222222223,72.96277777777777,58.24037037037037,41.75962962962963,poor,high,low
23G31B5317,Sanjay Bhat,1,2,56.0,1,43.333333333333336,57.702127659574465,28.0,0.0,51.05531914893617,51.05531914893617,48.94468085106383,53.12482269503545,46.87517730496455,medium,normal,medium
23G31A4061,Varun Patel,1,2,58.0,1,90.0,45.48275862068966,31.0,0.0,64.37241379310345,64.37241379310345,35.62758620689655,49.73793103448276,50.26206896551724,high,low,medium
23G31B5477,Nikhil Iyer,1,2,47.0,1,33.33333333333333,65.87204301075269,61.0,0.0,46.4308064516129,46.4308064516129,53.5691935483871,60.243763440860214,39.756236559139786,medium,normal,low
23G31B8275,Ashok Menon,1,2,79.0,1,93.33333333333333,71.63333333333334,77.0,0.0,82.095,82.095,17.905,75.07666666666667,24.923333333333332,high,low,low
23G31A4790,Mohan Patel,1,1,0.0,0,60.0,72.9,37.0,0.0,30.785000000000004,30.785000000000004,69.215,60.730000000000004,39.269999999999996,poor,normal,low
23G31B5370,Karthik Joshi,1,2,61.0,1,43.333333333333336,84.45384615384614,38.0,0.0,58.06807692307692,58.06807692307692,41.93192307692308,73.35102564102563,26.64897435897437,medium,normal,low
23G31A8586,Sneha Reddy,1,2,65.0,1,63.33333333333333,83.36637168141593,90.0,0.0,68.5049557522124,68.5049557522124,31.495044247787604,80.18979351032448,19.810206489675522,high,low,low
23G31A3295,Sneha Desai,1,2,64.0,1,50.0,87.55,77.0,0.0,63.9825,63.9825,36.0175,80.385,19.614999999999995,high,low,low
23G31A8137,Deepak Desai,1,1,0.0,0,93.33333333333333,72.85486725663716,50.0,0.0,41.42823008849557,41.42823008849557,58.57176991150443,65.33174041297934,34.66825958702066,medium,normal,low
23G31B9891,Ramesh Malhotra,1,2,72.0,1,63.33333333333333,82.76046511627906,73.0,0.0,71.06406976744186,71.06406976744186,28.935930232558135,78.76565891472868,21.234341085271325,high,low,low
23G31B8855,Nitin Saxena,1,1,0.0,0,40.0,63.9375,90.0,0.0,26.090625,26.090625,73.909375,57.756249999999994,42.243750000000006,poor,high,low
23G31A1368,Meera Rao,1,2,92.0,1,80.0,50.16144578313253,90.0,0.0,82.02421686746987,82.02421686746987,17.975783132530125,61.31301204819277,38.68698795180723,high,low,low
23G31A5007,Esha Reddy,1,1,0.0,0,43.333333333333336,65.51010101010101,55.0,0.0,25.576515151515153,25.576515151515153,74.42348484848485,55.69040404040404,44.30959595959596,poor,high,low
23G31A5245,Simran Bhatnagar,1,1,0.0,0,50.0,92.0725,62.0,0.0,31.910875000000004,31.910875000000004,68.089125,75.65075,24.349249999999998,poor,normal,low
23G31B6388,Rajesh Agarwal,1,1,0.0,0,80.0,88.29158878504673,12.0,0.0,37.84373831775701,37.84373831775701,62.15626168224299,71.0041121495327,28.995887850467298,poor,normal,low
23G31A8215,Aisha Chatterjee,1,1,0.0,0,80.0,62.400000000000006,67.0,0.0,36.71,36.71,63.29,58.38,41.62,poor,normal,low
23G31B4787,Anjali Agarwal,1,2,62.0,1,40.0,57.76818181818182,16.0,0.0,52.46522727272727,52.46522727272727,47.53477272727273,52.23772727272728,47.76227272727272,medium,normal,medium
