attendance_pct,behavior_pct,SEM7,dropout_score,CURR_SEM,SEM2,past_count,INTERNAL_MARKS,SEM8,performance_overall,DEPT,RNO,performance_trend,prev_att,TOTAL_DAYS_CURR,risk_label,S.NO,EMAIL,risk_score,performance_label,BEHAVIOR_SCORE_10,past_avg,SEM6,SEM1,MENTOR_EMAIL,YEAR,internal_pct,ATTENDED_DAYS_CURR,MENTOR,SEM4,SEM3,present_att,dropout_label,NAME,PREV_ATTENDANCE_PERC,SEM5
58.0,50.0,0.0,45.07,1.0,0.0,0,28.0,0.0,39.2,CIVIL,23G31A6867,0.0,67.0,99.0,high,6.0,ananya.mishra230@gmail.com,60.8,poor,5.0,0.0,0.0,,dr..anil.singh95@gmail.com,1.0,93.33,56.0,Dr. Anil Singh,0.0,0.0,56.57,medium,Ananya Mishra,67.0,0.0
84.97,94.0,0.0,24.46,1.0,0.0,0,20.0,0.0,37.45,CSE(AI),23G31A2732,0.0,56.0,87.0,high,7.0,arjun.desai910@gmail.com,62.55,poor,9.4,0.0,0.0,,prof..meera.desai26@gmail.com,1.0,66.67,80.0,Prof. Meera Desai,0.0,0.0,91.95,low,Arjun Desai,56.0,0.0
82.5,33.0,0.0,31.62,1.0,0.0,0,22.0,0.0,36.02,CSE,23G31B7317,0.0,65.0,92.0,high,8.0,ajay.joshi189@gmail.com,63.98,poor,3.3,0.0,0.0,,prof..priya.sharma21@gmail.com,1.0,73.33,87.0,Prof. Priya Sharma,0.0,0.0,94.57,low,Ajay Joshi,65.0,0.0
77.31,41.0,0.0,36.45,1.0,0.0,0,16.0,0.0,29.65,CDS,23G31B7519,0.0,54.0,83.0,high,9.0,tanvi.mishra455@gmail.com,70.35,poor,4.1,0.0,0.0,,prof..priya.sharma33@gmail.com,1.0,53.33,74.0,Prof. Priya Sharma,0.0,0.0,89.16,low,Tanvi Mishra,54.0,0.0
64.58,87.0,0.0,41.76,1.0,0.0,0,13.0,0.0,27.04,ECE,23G31B7375,0.0,72.0,81.0,high,10.0,aryan.reddy330@gmail.com,72.96,poor,8.7,0.0,0.0,,prof..priya.sharma68@gmail.com,1.0,43.33,48.0,Prof. Priya Sharma,0.0,0.0,59.26,medium,Aryan Reddy,72.0,0.0
57.7,28.0,0.0,46.88,2.0,,1,13.0,0.0,51.06,EEE,23G31B5317,0.0,66.0,94.0,normal,11.0,sanjay.bhat324@gmail.com,48.94,medium,2.8,56.0,0.0,56.0,dr..vikram.reddy67@gmail.com,1.0,43.33,56.0,Dr. Vikram Reddy,0.0,0.0,59.57,medium,Sanjay Bhat,66.0,0.0
45.48,31.0,0.0,50.26,2.0,,1,27.0,0.0,64.37,MECH,23G31A4061,0.0,52.0,116.0,low,12.0,varun.patel485@gmail.com,35.63,medium,3.1,58.0,0.0,58.0,prof..meera.desai52@gmail.com,1.0,90.0,53.0,Prof. Meera Desai,0.0,0.0,45.69,medium,Varun Patel,52.0,0.0
65.87,61.0,0.0,39.76,2.0,,1,10.0,0.0,46.43,CIVIL,23G31B5477,0.0,58.0,93.0,normal,13.0,nikhil.iyer957@gmail.com,53.57,poor,6.1,47.0,0.0,47.0,dr..anil.singh71@gmail.com,1.0,33.33,64.0,Dr. Anil Singh,0.0,0.0,68.82,low,Nikhil Iyer,58.0,0.0
71.63,77.0,0.0,24.92,2.0,,1,28.0,0.0,82.09,CSE(AI),23G31B8275,0.0,78.0,84.0,low,14.0,ashok.menon415@gmail.com,17.91,high,7.7,79.0,0.0,79.0,prof..ritika.malhotra80@gmail.com,1.0,93.33,58.0,Prof. Ritika Malhotra,0.0,0.0,69.05,low,Ashok Menon,78.0,0.0
72.9,37.0,0.0,39.27,1.0,0.0,0,18.0,0.0,30.79,CSE,23G31A4790,0.0,66.0,90.0,high,15.0,mohan.patel292@gmail.com,69.22,poor,3.7,0.0,0.0,,dr..suresh.iyer88@gmail.com,1.0,60.0,72.0,Dr. Suresh Iyer,0.0,0.0,80.0,low,Mohan Patel,66.0,0.0
